"设备ID","发生时间","错误码","错误名称","详情"
"SW-D4K12N39","2026-07-16 19:42","E5","主刷缠绕","猫毛大量缠绕主刷，需手动清理"
"SW-F1R23V88","2026-07-16 19:42","E2","机器被困","疑似被地面玩具围困"
"SW-C9P45L77","2026-07-16 04:48","E5","主刷缠绕","宠物毛发缠绕主刷"
"SW-C9P45L77","2026-07-15 22:07","E1","尘盒已满","地毯环境扬尘多，尘盒满载较快"
"SW-B2M88J14","2026-07-15 05:02","E4","边刷缠绕","边刷被线缆卷入"
"SW-D4K12N39","2026-07-14 16:00","E5","主刷缠绕","猫毛大量缠绕主刷，需手动清理"
"SW-E8T60Q05","2026-07-13 20:15","E6","电量不足无法回充","电池衰减导致续航不足"
"SW-E8T60Q05","2026-07-13 19:56","E6","电量不足无法回充","电池衰减导致续航不足"
"SW-F1R23V88","2026-07-13 19:46","E3","跌落传感器触发","多层结构楼梯口附近触发防跌落"
"SW-H3Y50X63","2026-07-13 12:56","E8","拖布未安装","水箱已装但未检测到拖布"
"SW-F1R23V88","2026-07-13 10:54","E2","机器被困","疑似被地面玩具围困"
"SW-F1R23V88","2026-07-12 20:24","E2","机器被困","疑似被地面玩具围困"
"SW-F1R23V88","2026-07-11 19:00","E2","机器被困","卡在儿童房家具下方"
"SW-C9P45L77","2026-07-11 17:26","E1","尘盒已满","地毯环境扬尘多，尘盒满载较快"
"SW-D4K12N39","2026-07-11 06:34","E5","主刷缠绕","猫毛大量缠绕主刷，需手动清理"
"SW-D4K12N39","2026-07-10 09:16","E9","激光雷达遮挡","疑似猫砂粉尘附着传感器"
"SW-C9P45L77","2026-07-10 00:06","E4","边刷缠绕","长毛发卷入边刷"
"SW-B2M88J14","2026-07-09 14:30","E4","边刷缠绕","边刷被线缆卷入"
"SW-A7X31K02","2026-07-08 09:33","E1","尘盒已满","清扫面积较大，尘盒需及时清理"
"SW-J7U18Z44","2026-07-06 22:51","E1","尘盒已满","换毛季扬尘增多"
"SW-H3Y50X63","2026-07-06 14:48","E8","拖布未安装","水箱已装但未检测到拖布"
"SW-K5N72B96","2026-07-05 11:27","E7","水箱缺水","大户型单次清扫水量不足"
"SW-F1R23V88","2026-07-02 23:28","E3","跌落传感器触发","多层结构楼梯口附近触发防跌落"
"SW-D4K12N39","2026-07-02 13:29","E5","主刷缠绕","猫毛大量缠绕主刷，需手动清理"
"SW-A7X31K02","2026-06-29 16:45","E1","尘盒已满","清扫面积较大，尘盒需及时清理"
"SW-D4K12N39","2026-06-28 06:00","E5","主刷缠绕","猫毛大量缠绕主刷，需手动清理"
"SW-D4K12N39","2026-06-28 03:57","E5","主刷缠绕","猫毛大量缠绕主刷，需手动清理"
"SW-D4K12N39","2026-06-26 02:59","E9","激光雷达遮挡","疑似猫砂粉尘附着传感器"
"SW-J7U18Z44","2026-06-24 09:29","E1","尘盒已满","换毛季扬尘增多"
"SW-B2M88J14","2026-06-23 17:37","E4","边刷缠绕","边刷被线缆卷入"
"SW-J7U18Z44","2026-06-23 05:34","E5","主刷缠绕","宠物毛发缠绕胶刷"
"SW-B2M88J14","2026-06-22 05:26","E2","机器被困","疑似被地面电线/数据线缠绕"
"SW-F1R23V88","2026-06-22 02:47","E2","机器被困","卡在儿童房家具下方"
"SW-J7U18Z44","2026-06-21 20:07","E1","尘盒已满","换毛季扬尘增多"
"SW-D4K12N39","2026-06-21 11:04","E9","激光雷达遮挡","疑似猫砂粉尘附着传感器"
"SW-C9P45L77","2026-06-21 02:02","E1","尘盒已满","地毯环境扬尘多，尘盒满载较快"
"SW-F1R23V88","2026-06-21 01:01","E3","跌落传感器触发","多层结构楼梯口附近触发防跌落"
"SW-K5N72B96","2026-06-20 22:17","E7","水箱缺水","大户型单次清扫水量不足"
"SW-D4K12N39","2026-06-20 00:07","E5","主刷缠绕","猫毛大量缠绕主刷，需手动清理"
"SW-F1R23V88","2026-06-17 10:32","E2","机器被困","疑似被地面玩具围困"
